Bookmark
Bookmark this report: https://irmadev.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,1,374,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,"20,563"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,2,419,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,"20,563"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,3,"1,141",Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,"20,563"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,4,"1,412",Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,"20,563"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,5,"1,720",Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,"20,563"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,6,"2,405",Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,"20,563"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,7,"3,904",Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,"20,563"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,8,"2,691",Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,"20,563"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,9,"2,191",Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,"20,563"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,10,"2,085",Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,"20,563"
