Phase,Status,Major,Businessmajor,Year,Birthyear,Age,Start_business,Familiar_minor,Familiar_center,Attendance,Attitude,Attendance_future,Exposure_flyers,Exposure_tabling,Expsoure_socialmedia,Participation,Direction
Pre-campaign,student,education,no,junior,2003,20,2,1,3,no,3,99,99,99,99,99,99
Pre-campaign,student,communication,no,senior,2002,21,5,4,3,no,1,99,99,99,99,99,99
Pre-campaign,student,psychology,no,junior,99,99,2,1,2,no,3,99,99,99,99,99,99
Pre-campaign,student,psychology,no,senior,2001,22,5,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,junior,2003,20,5,4,5,yes,4,99,99,99,99,99,99
Pre-campaign,student,political science,no,sophomore,2004,19,3,2,2,no,4,99,99,99,99,99,99
Pre-campaign,student,film,no,freshman,2005,18,2,1,3,no,2,99,99,99,99,99,99
Pre-campaign,student,political science,no,junior,2003,20,1,2,2,no,4,99,99,99,99,99,99
Pre-campaign,student,political science,no,junior,2003,20,4,2,1,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,sophomore,2004,19,5,1,1,no,5,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2002,21,5,4,3,no,5,99,99,99,99,99,99
Pre-campaign,student,health sciences,no,senior,2002,21,1,2,3,no,4,99,99,99,99,99,99
Pre-campaign,student,psychology,no,sophomore,2004,19,3,1,1,no,2,99,99,99,99,99,99
Pre-campaign,student,film,no,senior,2002,21,2,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,film,no,sophomore,2004,19,3,2,1,no,3,99,99,99,99,99,99
Pre-campaign,student,engineering,no,junior,2003,20,2,1,1,no,99,99,99,99,99,99,99
Pre-campaign,student,99,99,sophomore,2003,20,3,1,1,no,2,99,99,99,99,99,99
Pre-campaign,alumni,business,yes,99,2000,23,4,3,2,no,99,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,senior,1995,28,5,3,1,no,4,99,99,99,99,99,99
Pre-campaign,student,engineering,no,freshman,2005,18,2,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,health sciences,no,junior,2003,20,2,4,1,yes,99,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,senior,2002,21,4,4,4,no,4,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,senior,2001,22,4,4,3,no,3,99,99,99,99,99,99
Pre-campaign,student,communication,no,senior,2002,21,3,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,junior,2003,20,1,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,senior,2001,22,4,4,2,no,3,99,99,99,99,99,99
Pre-campaign,student,communication,no,junior,2003,20,2,4,4,no,3,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,sophomore,2003,20,4,4,1,no,3,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,senior,2001,22,3,2,2,no,5,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,senior,2002,21,4,2,2,no,4,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,junior,2002,21,2,4,1,no,1,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,senior,2002,21,1,1,1,no,2,99,99,99,99,99,99
Pre-campaign,student,communication,no,senior,2002,21,4,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,senior,2002,21,5,5,5,no,4,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,junior,2003,20,4,4,2,no,3,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,junior,2003,20,2,4,1,no,3,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,junior,2002,21,5,3,1,no,3,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,senior,2002,21,3,3,1,no,99,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,junior,2003,20,3,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2002,21,1,3,4,no,4,99,99,99,99,99,99
Pre-campaign,student,health sciences,no,senior,2001,22,3,2,1,no,3,99,99,99,99,99,99
Pre-campaign,student,health sciences,no,senior,2001,22,1,3,2,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2001,22,4,2,2,no,3,99,99,99,99,99,99
Pre-campaign,student,film,no,junior,2003,20,3,5,2,no,3,99,99,99,99,99,99
Pre-campaign,student,engineering,no,senior,2001,22,3,1,1,no,5,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,1996,27,4,3,2,no,2,99,99,99,99,99,99
Pre-campaign,student,health sciences,no,senior,2002,21,2,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2002,21,4,5,3,yes,4,99,99,99,99,99,99
Pre-campaign,student,political science,no,junior,2003,20,2,4,3,no,5,99,99,99,99,99,99
Pre-campaign,student,health sciences,no,senior,2002,21,2,2,1,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,junior,2003,20,2,1,1,no,3,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,sophomore,2003,20,3,2,2,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,junior,2002,21,5,3,3,no,5,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,senior,2002,21,5,4,4,no,5,99,99,99,99,99,99
Pre-campaign,student,health sciences,no,senior,2001,22,2,3,1,no,3,99,99,99,99,99,99
Pre-campaign,student,psychology,no,senior,2002,21,3,2,1,no,2,99,99,99,99,99,99
Pre-campaign,student,strategic and corporate communication,no,senior,2002,21,3,2,1,no,2,99,99,99,99,99,99
Pre-campaign,student,film,no,senior,2002,21,4,3,4,no,4,99,99,99,99,99,99
Pre-campaign,student,communication,no,junior,2003,20,3,2,1,no,1,99,99,99,99,99,99
Pre-campaign,student,business,yes,junior,2003,20,5,4,4,no,3,99,99,99,99,99,99
Pre-campaign,student,business,yes,senior,2001,22,5,4,3,yes,3,99,99,99,99,99,99
Pre-campaign,student,education,no,junior,2003,20,3,2,4,yes,3,99,99,99,99,99,99
